City,State,2020census,Change,2020 population density
New York,New York,8804190,+7.69%,29298
Jersey City,New Jersey,292449,+18.11%,19894
Paterson,New Jersey,159732,+9.26%,19016
San Francisco,California,873965,+8.54%,18635
Cambridge,Massachusetts,118403,+12.59%,18500
Boston,Massachusetts,675647,+9.40%,13989
Daly City,California,104901,+3.74%,13803
Newark,New Jersey,311549,+12.42%,12927
Miami,Florida,442241,+10.71%,12284
Chicago,Illinois,2746388,+1.88%,12061
Berkeley,California,124321,+10.43%,11954
Philadelphia,Pennsylvania,1603797,+5.10%,11933
Inglewood,California,107762,−1.74%,11842
Yonkers,New York,211569,+7.96%,11754
El Monte,California,109450,−3.55%,11401
Santa Ana,California,310227,−4.41%,11364
Washington,District of Columbia,689545,+14.60%,11286
Elizabeth,New Jersey,137298,+9.87%,11162
Alexandria,Virginia,159467,+13.93%,10702
Norwalk,California,102773,−2.63%,10595
Providence,Rhode Island,190934,+7.24%,10377
Hialeah,Florida,223109,−0.69%,10329
Garden Grove,California,171949,+0.62%,9553
Lynn,Massachusetts,101253,+12.09%,9463
Bridgeport,Connecticut,148654,+3.07%,9233
Downey,California,114355,+2.31%,9222
Long Beach,California,466742,+0.97%,9206
Seattle,Washington,737015,+21.09%,8795
San Mateo,California,105661,+8.70%,8732
Lowell,Massachusetts,115554,+8.48%,8497
Los Angeles,California,3898747,+2.80%,8304
Minneapolis,Minnesota,429954,+12.38%,7962
Oakland,California,440646,+12.78%,7883
Oxnard,California,202063,+2.10%,7625
Huntington Beach,California,198711,+4.59%,7360
El Cajon,California,106215,+6.77%,7325
Baltimore,Maryland,585708,−5.68%,7240
Torrance,California,147067,+1.12%,7174
New Haven,Connecticut,134023,+3.27%,7167
Allentown,Pennsylvania,125845,+6.62%,7150
Costa Mesa,California,111918,+1.78%,7083
Sunnyvale,California,155805,+11.22%,7050
Santa Clara,California,127647,+9.60%,6975
Salinas,California,163542,+8.71%,6959
Hartford,Connecticut,121054,−2.98%,6957
Anaheim,California,346824,+3.14%,6895
Buffalo,New York,278349,+6.52%,6890
West Covina,California,109501,+3.21%,6844
Pomona,California,151713,+1.78%,6596
Glendale,California,196543,+2.52%,6444
Fullerton,California,143617,+6.26%,6411
Burbank,California,107337,+3.87%,6204
Miami Gardens,Florida,111640,+4.17%,6134
Quincy,Massachusetts,101636,+10.15%,6123
Pasadena,California,138699,+1.15%,6030
Milwaukee,Wisconsin,577222,−2.96%,6000
Saint Paul,Minnesota,311527,+9.28%,5991
Syracuse,New York,148620,+2.38%,5921
Rochester,New York,211328,+0.36%,5903
Coral Springs,Florida,134394,+10.98%,5869
Honolulu,Hawaii,350964,+4.06%,5801
San Jose,California,1013240,+7.11%,5683
Hollywood,Florida,153067,+8.74%,5607
Chula Vista,California,275487,+12.94%,5554
Worcester,Massachusetts,206518,+14.07%,5522
Lakewood,New Jersey,135158,+45.58%,5472
Pittsburgh,Pennsylvania,302971,−0.89%,5469
Orange,California,139911,+2.56%,5444
Sacramento,California,524943,+12.53%,5324
Fort Lauderdale,Florida,182760,+10.41%,5282
Pembroke Pines,Florida,171178,+11.14%,5235
Stockton,California,320804,+9.97%,5158
Modesto,California,218464,+8.60%,5081
Ventura,California,110763,+4.07%,5058
New Bedford,Massachusetts,101079,+6.32%,5054
Brockton,Massachusetts,105643,+12.61%,4960
St. Louis,Missouri,301578,−5.55%,4888
Portland,Oregon,652503,+11.77%,4888
Springfield,Massachusetts,155929,+1.87%,4888
Gresham,Oregon,114247,+8.19%,4862
Fontana,California,208393,+6.29%,4835
Santa Maria,California,109707,+10.20%,4812
Cleveland,Ohio,372624,−6.10%,4796
Clovis,California,120124,+25.61%,4729
Fresno,California,542107,+9.59%,4706
